member,下載,type,text,規格書
INR1201,已下載,RPG,盤盈銷售明細表 (PRINT REPORTS),
INR130,已下載,RPG,陳列單驗收明細表 (CREEN CHECK),
INR1301,已下載,RPG,陳列單驗收明細表 (PRINT REPORTS),
INR140,已下載,RPG,陳列借貨明細表 (Screen Check),
INR1401,已下載,RPG,陳列借貨明細表 (PRINT REPORTS),
INT001,已下載,RPG,存貨調撥處理                                A1546,
INT001N,已下載,RPG,存貨調撥處理                                A1546,
INT002,已下載,RPG,進貨退出處理                                A1546,
INT003,已下載,RPG,陳列轉進貨處理                              A1546,
INT004,已下載,RPG,存貨調整處理                                A1546,
INT005,已下載,RPG,產品成本調整處理                            A1546,
INT006,已下載,RPG,庫存月結批次處理 SCREEN CHECK               A1546,
INT0061,已下載,RPG,庫存月結批次處理  主程式                    A1546,
INT0061B1,已下載,RPG980401,庫存月結批次處理  主程式                    A1546,
INT0061TB,已下載,RPG,庫存月結批次處理 FOR 測試計算單位成本       A1546,
INT0061T1,已下載,RPG,特定產品代號試算單位成本,
INT007,已下載,RPG,庫存單據入庫批次處理 SCREEN CHECK           A1546,
INT0071,已下載,RPG,庫存單據入庫批次處理  主程式                A1546,
INT0071N1,已下載,RPG,庫存單據入庫批次處理  主程式                A1546,
INT008,已下載,RPG,陳列品退出處理                              A1546,
INT009,已下載,RPG,備份當日未處理之訂貨單到備份檔中            A1491,
INT010,已下載,RPG,庫存月結還原批次 SCREEN CHECK               A1491,
INT0101,已下載,RPG,庫存月結還原批次  主程式                    A1491,
INT011,已下載,RPG,未完成調撥單查詢                            A1546,
INT012,已下載,RPG,現場產品存貨查詢                            A1546,
INT0121,已下載,RPG,現場產品存貨查詢－通路／分店數量            A1546,
INT013,已下載,RPG,現場分店存貨查詢                            A1546,
INT0131,已下載,RPG,現場分店存貨查詢－依分店                    A1546,
INT014,已下載,RPG,現場產品異動查詢                            A1546,
INT015,已下載,RPG,陳列轉進貨單查詢                            A1546,
INT016,已下載,RPG,陳列品退出單查詢                            A1546,
INT017,已下載,RPG,調撥單歷史查詢                              A1492,
INT020,已下載,RPG,庫存日結還原批次 SCREEN CHECK               A1491,
INT0201,已下載,RPG,庫存日結還原批次  主程式                    A1491,
INT021,已下載,RPG,調撥批次處理                                A1491,
INT9001,已下載,RPG,TB10 TB11 TB16  重新計算  BY YYYYMM,
INT9002,已下載,RPG,TB14 TB15  重新計算在途  BY YYYYMM,
MAN001,已下載,RPG,貨運站基本資料維護                          A1491,
MAN002,已下載,RPG,供應商基本資料維護                          A1491,
MAN003,已下載,RPG,產品基本資料維護                            A1491,
MAN004,已下載,RPG,通路基本資料維護                            A1491,
MAN005,已下載,RPG,通路分店資料維護                            A1491,
MAN006,已下載,RPG,前台人員資料維護                            A1491,
MAN007,已下載,RPG,銷售區碼資料維護                            A5461,
MAN008,已下載,RPG,分店產品資料維護,
MAN009,已下載,RPG,產品分店資料維護,
MAN010,已下載,RPG,缺貨資料維護,
MAN011,已下載,RPG,分店銷售天數資料維護,
MCC000,已下載,RPG,Prepare Local Data Area for EH01 EH07 EH08,
MCC001,已下載,RPG,Delete TRX Data TX22 <> 'PI',
MCC002,已下載,RPG,Retrive TRX Data,
MCC0021,已下載,RPG,取得退進貨退出單價,
MCC003,已下載,RPG,Clear tb 08 09 10 11 12 13 14 15 16 18,
MCC004,已下載,RPG,TB14 TB15  重新計算在途  BY YYYYMM,
MCC005,已下載,RPG,計算  INTB TB 08 09 10 11 12 13 16,
MCC005A,已下載,RPG,計算  INTB TB 12 13,
MCC006,已下載,RPG,計算庫存數量 ( 不含銷售 ) TB07,
MCC007,已下載,RPG,還原借貨資料,
MCC008,已下載,RPG,計算借貨及盤盈銷售 & SEHAPF to INTXPF,
MCC009,已下載,RPG,負庫存調整,
MCC010,已下載,RPG,計算總庫結存數量,
MCC011,已下載,RPG,更正總庫調整入 / 出庫量 ( 去除調撥,
MCC012,已下載,RPG,計算本月單位成本,
MCC013,已下載,RPG,更新異動資料成本金額,
