member,下載,text,規格書,,,
INR0451,已下載,現場產品庫存總表－依產品 (PRINT REPORTS 2),,,,
INR0452,已下載,現場產品庫存總表－依產品 (WRITE WORKFILE),,,,
INR046,已下載,現場產品庫存表－依分店 (SCREEN CHECK),,,,
INR0461,已下載,現場產品庫存表－依分店 (PRINT REPORTS 2),,,,
INR0462,已下載,現場產品庫存表－依分店 (WRITE WORKFILE),,,,
INR050,已下載,月加權成本計算表 (SCREEN CHECK),,,,
INR0501,已下載,月加權成本計算表 (PRINT REPORTS ),,,,
INR0502,已下載,月加權成本計算表 (WRITE WORKFILE),,,,
INR060,已下載,陳列品轉進貨表 (SCREEN CHECK),,,,
INR0601,已下載,陳列品轉進貨表 (WRITE WORKFILE),,,,
INR0602,已下載,陳列品轉進貨表 (PRINT REPORTS),,,,
INR070,已下載,陳列品退出表 (SCREEN CHECK),,,,
INR0701,已下載,陳列品退出表 (WRITE WORKFILE),,,,
INR0702,已下載,陳列品退出表 (PRINT REPORTS),,,,
INR080,已下載,陳列品餘額彙總表－依供應商 (Screen Check),,,,
INR0801,已下載,陳列品餘額彙總表－依供應商 ( 寫入工作檔 ) ,,,,
INR0802A,已下載,"陳列品餘額彙總表－依供應商 : 借貸 , 調整 ,盤點",,,,
INR0802B,已下載,陳列品餘額彙總表－依供應商 : 轉進貨 ,,,,
INR0802C,已下載,陳列品餘額彙總表－依供應商 : 退出量 ,,,,
INR0802D,已下載,陳列品餘額彙總表－依供應商 : 計算剩餘量 ,,,,
INR0803,已下載,陳列品餘額彙總表－依供應商 ( 加總 ) ,,,,
INR0804,已下載,陳列品餘額彙總表－依供應商 ( 產生報表 ) ,,,,
INR082,已下載,陳列品使用明細表 (SCREEN CHECK) ,,,,
INR0821,已下載,陳列品使用明細表 (PRINT REPORT ) ,,,,
INR0822,已下載,陳列品使用明細表 (WRITE WORKFILE) ,,,,
INR090,已下載,銷貨成本表 ( 畫面 ),,,,
INR0901,已下載,銷貨成本表 ( 撰寫工作檔 ) - 明細檔,,,,
INR0902,已下載,銷貨成本表 ( 總表 - 分店 ),,,,
INR0903,已下載,銷貨成本表 ( 總表 - 產品 ),,,,
INR0904,已下載,銷貨成本表 ( 明細表 - 產品 ),,,,
INR100,已下載,產品異動報表 (SCREEN CHECK),,,,
INR1001,已下載,產品異動報表 (WRITE WORKFILE),,,,
INR1002,已下載,產品異動報表 (PRINT REPORTS),,,,
INR1003,已下載,產品異動報表 ( 計算期初存量 ),,,,
INR110,已下載,存貨調整明細表 (SCREEN CHECK),,,,
INR1101,已下載,存貨調整明細表 (PRINT REPORTS),,,,
INR120,已下載,盤盈銷售明細表 (SCREEN CHECK),,,,
INR1201,已下載,盤盈銷售明細表 (PRINT REPORTS),,,,
INR130,已下載,陳列單驗收明細表 (CREEN CHECK),,,,
INR1301,已下載,陳列單驗收明細表 (PRINT REPORTS),,,,
INR140,已下載,陳列借貨明細表 (Screen Check),,,,
INR1401,已下載,陳列借貨明細表 (PRINT REPORTS),,,,
INT001,已下載,存貨調撥處理,,,,
INT002,已下載,進貨退出處理 ,,,,
INT003,已下載,陳列轉進貨處理 ,,,,
INT004,已下載,存貨調整處理 ,,,,
INT005,已下載,產品成本調整處理 ,,,,
INT006,已下載,庫存月結批次處理SCREEN CHECK,,,,
INT0061,已下載,庫存月結批次處理主程式,,,,
INT0061B1,已下載,庫存月結批次處理主程式,,,,
INT0061TB,已下載,庫存月結批次處理 FOR 測試計算單位成本,,,,
INT0061T1,已下載,特定產品代號試算單位成本,,,,
INT007,已下載,庫存單據入庫批次處理 SCREEN CHECK,,,,
INT0071,已下載,庫存單據入庫批次處理  主程式,,,,
INT008,已下載,陳列品退出處理,,,,
INT009,已下載,備份當日未處理之訂貨單到備份檔中,,,,
INT010,已下載,庫存月結還原批次 SCREEN CHECK,,,,
INT0101,已下載,庫存月結還原批次  主程式,,,,
INT011,已下載,未完成調撥單查詢,,,,
INT012,已下載,現場產品存貨查詢,,,,
INT0121,已下載,現場產品存貨查詢－通路／分店數量,,,,
INT013,已下載,現場分店存貨查詢,,,,
INT0131,已下載,現場分店存貨查詢－依分店,,,,
INT014,已下載,現場產品異動查詢,,,,
INT015,已下載,陳列轉進貨單查詢,,,,
INT016,已下載,陳列品退出單查詢,,,,
INT017,已下載,調撥單歷史查詢,,,,
INT020,已下載,庫存日結還原批次 SCREEN CHECK,,,,
INT0201,已下載,庫存日結還原批次  主程式,,,,
INT9001,已下載,TB10 TB11 TB16  重新計算BY YYYYMM,,,,
INT9002,已下載,TB14 TB15  重新計算在途BY YYYYMM,,,,
MAN001,已下載,貨運站基本資料維護 ,,,,
MAN002,已下載,供應商基本資料維護 ,,,,
MAN003,已下載,產品基本資料維護 ,,,,
MAN004,已下載,通路基本資料維護 ,,,,
MAN005,已下載,通路分店資料維護 ,,,,
MAN006,已下載,前台人員資料維護 ,,,,
MAN007,已下載,銷售區碼資料維護 ,,,,
MAN008,已下載,分店產品資料維護 ,,,,
MAN009,已下載,產品分店資料維護 ,,,,
MAN010,已下載,缺貨資料維護,,,,
MCC000,已下載,Prepare Local Data Area for EH01 EH07 EH08,,,,
MCC001,已下載,Delete TRX Data TX22 <> 'PI',,,,
MCC002,已下載,Retrive TRX Data,,,,
MCC0021,已下載,取得退進貨退出單價,,,,
MCC003,已下載,Clear tb 08 09 10 11 12 13 14 15 16 18,,,,
MCC004,已下載,TB14 TB15  重新計算在途  BY YYYYMM,,,,
MCC005,已下載,計算  INTB TB 08 09 10 11 12 13 16,,,,
MCC005A,已下載,計算  INTB TB 12 13,,,,
MCC006,已下載,計算庫存數量 ( 不含銷售 ) TB07,,,,
MCC007,已下載,還原借貨資料,,,,
MCC008,已下載,計算借貨及盤盈銷售 & SEHAPF to INTXPF,,,,
MCC009,已下載,負庫存調整,,,,
MCC010,已下載,計算總庫結存數量,,,,
MCC011,已下載,更正總庫調整入 / 出庫量 ( 去除調撥,,,,
MCC012,已下載,計算本月單位成本,,,,
MCC013,已下載,更新異動資料成本金額,,,,
MCC014,已下載,尾差調整,,,,
MCC0141,已下載,尾差調整  更新成本最大之異動資料,,,,
MCC015,已下載,產生新月份  INTAPF INTBPF,,,,
MCC700,已下載,計算至指定日期庫存數量 ) WTB07,,,,
MCC7001,已下載,TEST for MCC007,,,,
MCC710,已下載,計算至指定日期陳列數量 ) WTB07,,,,
MCC7101,已下載,TEST for MCC710,,,,
MCC7772,已下載,庫存月結批次處理 SCREEN CHECK,,,,
MCJ001,已下載,銷貨收入傳票產生 'S1',,,,
MCJ002,已下載,進貨傳票產生 'C1' 'C2',,,,
MCJ003,已下載,銷貨成本傳票產生 'S1',,,,
MCJ004,已下載,進貨退出傳票產生 'B1'   ,,,,
MCJ005,已下載,陳列轉進貨傳票產生 'E1'   ,,,,
MCJ006,已下載,借貨傳票產生 'S2'   ,,,,
MCJ007,已下載,盤盈銷售傳票產生 'S3'   ,,,,
MCJ008,已下載,庫存調整傳票產生 'A1' 'A2'None0708,,,,
MCJ0081,已下載,盤盈虧調整傳票產生 'A1' 'A2' 0708 ,,,,
MCJ009,已下載,成本調整傳票產生 (A3)  ,,,,
MCJ010,已下載,陳列調整傳票產生 (A4)  ,,,,
MCJ600,已下載,傳票批次作業 (screen check)  ,,,,
MCJ601,已下載,Check Account No.  ,,,,
MCJ603,已下載,Update VHCTLPF  ,,,,
MCJ900,已下載,盤點更新傳票批次作業,,,,
MCJ910,已下載,"盤盈虧調整傳票產生 ""A6""  年度盤點",,,,
MCX007,已下載,還原借貨資料  Initial Value,,,,
MCX901,已下載,write Initial  借貨  to INTPPF,,,,
MCX902,已下載,write  陳列調整  to INTPPF,,,,
MOD001,已下載,維護程式－依陳列主檔更新分庫及總庫陳列品期初值,,,,
MOD002,已下載,維護程式－依分庫檔帳列期初值更新總庫檔,,,,
OTS001,已下載,UPDATE INTDPF.TD09 = INTCPF.TC03  WHERE TD09 = 0,,,,
OTS006,已下載,Set MANDPF.ND22 = 'R',,,,
OTS007,已下載,"修正  INTPPF Initial (TP15 = ""I"")  供應商代碼",,,,
OTS007A,已下載,"修正  INTXPF TX07  供應商代碼 for ""S2""",,,,
OTS008,已下載,"Change INTPPF TP12 = ""@@"" WhereTP12 = Blank ",,,,
OTS008A,已下載,"INTXPF TX09 = ""@@"" Where TX09 =Blank&TX03 =""S2""",,,,
PIA0011,已下載,盤盈虧計算 - SCREEN CHECK ,,,,
PIA0012,已下載,盤盈虧計算 - 主程式 ,,,,
PIA0012X,已下載,盤盈虧計算 - 主程式 ,,,,
PIA0021,已下載,盤點更新 - SCREEN CHECK ,,,,
PIA0022,已下載,盤點更新 - 主程式 ,,,,
PIA0023,已下載,產生新月份  INTAPF INTBPF ,,,,
PIA0061,已下載,盤點資料產生 - SCREEN CHECK  ,,,,
PIA0062,已下載,盤點資料產生 - 主程式  ,,,,
PIA0071,已下載,盤點資料上傳 - SCREEN CHECK & 主程式,,,,
PIA0081,已下載,盤點更新還原 SCREEN CHECK,,,,
PIA0082,已下載,盤點更新還原 - 主程式,,,,
PIA009,已下載,12/25 庫存量 - SCREEN CHECK,,,,
PIA0091,已下載,12/25 庫存量 - 系統數量、盤點量、未稅成本,,,,
PIA00921,已下載,12/25 庫存量 - 驗收單明細表工作檔 FROM INTXTM,,,,
PIA00922,已下載,12/25 庫存量 - 驗收數量,,,,
PIA0093,已下載,12/25 庫存量 - 通路銷售數量,,,,
PIA0094,已下載,12/25 庫存量 - 系統異動調整 ( 調撥數量 ),,,,
PIA0095,已下載,12/25 庫存量 - 系統異動調整 ( 預購數量 ),,,,
PIA0096,已下載,12/25 實際庫存量,,,,
PIA101,已下載,每月盤點結案 ,,,,
PII101,已下載,每月盤點歷史查詢 ,,,,
PIR0011,已下載,盤盈虧報表 - SCREEN CHECK,,,,
PIR0012,已下載,盤盈虧報表 - PRINT REPORTS,,,,
PIR0013,已下載,盤盈虧報表 -  彙總 PRINT REPORTS,,,,
PIR1011,已下載,每月盤盈虧報表 - SCREEN CHECK,,,,
PIR1012,已下載,每月盤盈虧報表 - PRINT REPORTS,,,,
PUC0011,已下載,全產品年度基本報價複製,,,,
PUC0012,已下載,全產品年度基本報價複製,,,,
PUC002,已下載,供應商產品報價維護,,,,
PUC003,已下載,供應商產品報價單核准,,,,
PUC004,已下載,供應商產品報價查詢,,,,
PUC0111,已下載,前台訂貨單批次處理,,,,
PUC0112,已下載,前台訂貨單批次處理,,,,
PUC012,已下載,訂貨單維護,,,,
PUC013,已下載,訂貨單審核,,,,
PUC014,已下載,訂貨單核淮,,,,
PUC015,已下載,訂貨單查詢,,,,
PUC016,已下載,訂貨單取消核準,,,,
PUC0211,已下載,採購批次處理,,,,
PUC0212,已下載,採購批次處理,,,,
PUC0213,已下載,採購批次處理,,,,
PUC022,已下載,採購單查詢,,,,
PUC023,已下載,應到貨箱數表寄出作業,,,,
PUC024,已下載,採購表單寄出處理,,,,
PUC025,已下載,採購單寄出作業,,,,
PUC026,已下載,採購單查詢 - 採購單號,,,,
