member,下載,type,text,規格書
PUC015D,已下載,DSPF,訂貨單查詢                                  A1491,
PUC016D,已下載,DSPF,訂貨單取消核準                              A1491,
PUC021D,已下載,DSPF,採購批次處理                                A1491,
PUC022D,已下載,DSPF,採購單查詢                                  A1491,
PUC023D,已下載,DSPF,應到貨箱數表寄出作業                        A1491,
PUC024D,已下載,DSPF,採購表單寄出處理                            A1546,
PUC025D,已下載,DSPF,採購單寄出作業                              A1492,
PUC026D,已下載,DSPF,採購單查詢 - 採購單號                       A1491,
PUC031D,已下載,DSPF,驗收單維護                                  A1491,
PUC032D,已下載,DSPF,異常驗收單維護                              A1491,
PUC033D,已下載,DSPF,補增驗收單維護                              A1491,
PUC034D,已下載,DSPF,貨運實際箱數維護                            A1491,
PUC035D,已下載,DSPF,未完成驗收單號查詢                          A1491,
PUC036D,已下載,DSPF,驗收單歷史查詢                              A1491,
PUC037D,已下載,DSPF,貨運箱數運費歷史查詢                        A1546,
PUC041D,已下載,DSPF,運費月結處理                                A1491,
PUC0411P,已下載,PRTF,單件運費異常表,
PUC0412P,已下載,PRTF,最低運費異常表,
PUC050D,已下載,DSPF,惠康調撥處理作業                            A1491,
PUC050P,已下載,PRTF,惠康調撥作業記錄表                          A1858,
PUC051D,已下載,DSPF,惠康調撥單維護                              A1546,
PUC052D,已下載,DSPF,惠康調撥送貨單產生                          A1491,
PUC052DN,已下載,DSPF,調撥送貨單產生                              A1491,
PUC052P,已下載,PRTF,惠康調撥單彙總表                            A1858,
PUC053D,已下載,DSPF,惠康調撥單驗收作業                          A1546,
PUC053DN,已下載,DSPF,存貨調撥驗收單維護                          A1546,
PUC054D,已下載,DSPF,惠康調撥單歷史查詢                          A1858,
PUC054DN,已下載,DSPF,調撥單歷史查詢                              A1858,
PUC061D,已下載,DSPF,惠康調撥驗收月報表                          A1858,
PUC061P,已下載,PRTF,惠康調撥驗收月報表                          A1858,
PUC062D,已下載,DSPF,前台人員排班月報表                          A1858,
PUC062P,已下載,PRTF,前台人員排班月報表                          A1858,
PUM000D,已下載,DSPF,西祺採購管理系統主畫面                      A1546,
PUM001D,已下載,DSPF,西祺採購報表列印作業主畫面                  A1546,
PUM002D,已下載,DSPF,惠康調撥報表列印作業主畫面                  A1858,
PUR010D,已下載,DSPF,驗收彙總表                                  A1491,
PUR010P,已下載,PRTF,驗收彙總表                                  A1491,
PUR020D,已下載,DSPF,驗收明細表                                  A1491,
PUR020P,已下載,PRTF,驗收明細表                                  A1491,
PUR030D,已下載,DSPF,分店驗收數量差異表,
PUR030P,已下載,PRTF,分店驗收數量差異表,
