member,下載,type,text,規格書
PIMSC0C,已下載,CLP,盤點系統主畫面,
PIM000C,已下載,CLP,盤點系統主畫面 <-- 取消不使用               A1492,
PIR001C1,已下載,CLP,盤盈虧報表                                  A1492,
PIR001C2,已下載,CLP,盤盈虧報表                                  A1492,
PIR101C1,已下載,CLP,每月盤盈虧報表,
PIR101C2,已下載,CLP,每月盤盈虧報表,
PSM000C,已下載,CLP,西祺進銷存主畫面                            A1546,
PUC0010C,已下載,CLP,全產品年度基本報價複製                      A1491,
PUC0011C,已下載,CLP,全產品年度基本報價複製                      A1491,
PUC0110C,已下載,CLP,前台訂貨單轉後台處理                        A1491,
PUC0111C,已下載,CLP,前台訂貨單轉後台處理                        A1491,
PUC0210C,已下載,CLP,採購批次處理                                A1491,
PUC0210CB1,已下載,CLP,採購批次處理 ( 備份檔不可刪除 )             A1491,
PUC0211C,已下載,CLP,採購批次處理                                A1491,
PUC023C,已下載,CLP,應到貨箱數表寄出作業                        A1546,
PUC023CSP,已下載,CLP,應到貨箱數表寄出作業   指定日期  YYYYMMDD   A1546,
PUC023C1,已下載,CLP,應到貨箱數表寄出作業                        A1546,
PUC024C,已下載,CLP,採購表單寄出處理                            A1546,
PUC024C1,已下載,CLP,採購表單寄出處理                            A1546,
PUC025C,已下載,CLP,採購單寄出作業                              A1546,
PUC025C1,已下載,CLP,採購表單寄出處理                            A1546,
PUC033C,已下載,CLP,補增驗收單維護                              A1492,
PUC0410C,已下載,CLP,運費月結處理                                A1491,
PUC0411C,已下載,CLP,運費月結處理                                A1491,
PUC052C,已下載,CLP,調撥送貨單產生,
PUC052CN,已下載,CLP,調撥送貨單產生,
PUC052C1,已下載,CLP,調撥送貨單產生,
PUC052C1N,已下載,CLP,調撥送貨單產生,
PUC061C,已下載,CLP,惠康調撥驗收月報表                          A1858,
PUC061C1,已下載,CLP,惠康調撥驗收月報表                          A1858,
PUC061C1B,已下載,CLP,惠康調撥驗收月報表                          A1858,
PUC061C2,已下載,CLP,惠康調撥驗收月報表（下載）                  A1858,
PUC062C,已下載,CLP,前台人員排班月報表                          A1858,
PUC062C1,已下載,CLP,前台人員排班月報表                          A1858,
PUM000C,已下載,CLP,西祺採購管理系統主畫面                      A1546,
PUM001C,已下載,CLP,西祺採購報表列印作業主畫面                  A1546,
PUM002C,已下載,CLP,惠康調撥報表列印作業主畫面                  A1858,
PUR010C,已下載,CLP,驗收彙總表                                  A1491,
PUR010C1,已下載,CLP,驗收彙總表                                  A1491,
PUR010C2,已下載,CLP,驗收彙總表（下載）                          A1492,
PUR020C,已下載,CLP,驗收明細表                                  A1491,
PUR020C1,已下載,CLP,驗收明細表                                  A1491,
PUR020C2,已下載,CLP,驗收明細表（下載）                          A1492,
PUR030C,已下載,CLP,分店驗收數量差異表,
PUR030C1,已下載,CLP,分店驗收數量差異表,
PUR030C2,已下載,CLP,分店驗收數量差異表（下載）                  A1492,
PUR040C,已下載,CLP,運費總表                                    A1491,
PUR040C1,已下載,CLP,運費總表                                    A1491,
PUR040C2,已下載,CLP,運費總表（下載）,
PUR050C,已下載,CLP,供應商負擔運費表,
PUR050C1,已下載,CLP,供應商負擔運費表,
PUR050C2,已下載,CLP,供應商負擔運費表（下載）,
PUR060C,已下載,CLP,驗收月報表,
PUR060C1,已下載,CLP,驗收月報表,
