member,下載,type,text,規格書
DWPC02,已下載,RPG,產品庫存量表－含專櫃＆在途量 (SCREEN CHECK),
DWPC021,已下載,RPG,產品庫存量表－含專櫃＆在途量 (WORK FILE),
DWPC022,已下載,RPG,產品庫存量表－含專櫃＆在途量 (PRINT REPORTS),
DWPC03,已下載,RPG,客戶簡明表 (SCREEN CHECK),
DWPC031,已下載,RPG,客戶簡明表 (PRINT REPORTS),
HBP2CVT,已下載,RPG,BP2000 - RPG program for add/rmv century & shift,
HBP2CVTF,已下載,RPG,BP2000 - Copy RPG contains USA flip year routines,
HBP2CVTN,已下載,RPG,BP2000 - RPG program for add/rmv century & shift,
HBP2CVTR,已下載,RPG,"BP2000 - Copy RPG contains ADD & RMV century, SHF",
HBP2CVTRN,已下載,RPG,"BP2000 - Copy RPG contains ADD & RMV century, SHF",
HBP2CVT6,已下載,RPG,BP2000 - Copy RPG contains YM<->MY flip routines,
HBP2DIM1,已下載,RPG,BP2000 - Copy RPG contains DIM area definitions,
HBP2DIM2,已下載,RPG,BP2000 - Copy RPG contains DIM check date routine,
IMA001,已下載,RPG,送貨確認作業處理,
IMA002,已下載,RPG,收貨確認作業處理                 ,
IMA003,已下載,RPG,良品壞品轉換處理                  ,
IMA004,已下載,RPG,報廢處理                        ,
IMA005,已下載,RPG,調整處理                        ,
IMA006,已下載,RPG,公司內調撥處理                 ,
IMA008,已下載,RPG,送貨分車資料輸入,
IMA0081,已下載,RPG,送貨單明細查詢,
IMA0082,已下載,RPG,送貨分車資料輸入－分車指派,
IMA0083,已下載,RPG,送貨分車資料輸入－指派取消,
IMA009,已下載,RPG,月結處理 (BATCH),
IMA009S,已下載,RPG,原月結處理－未有 chkactpgm(BATCH),
IMA009X,已下載,RPG,反月結處理 (BATCH),
IMA0091,已下載,RPG,月結處理 (BATCH),
IMA010,已下載,RPG,禮盒組拆作業處理,
IMA011,已下載,RPG,普銷領／繳貨處理,
IMA012,已下載,RPG,普銷領／繳貨處理,
IMA013,已下載,RPG,單位成本調整維護,
IMA014,已下載,RPG,康齡成本資料異動維護,
IMI021,已下載,RPG,產品存貨狀況,
IMI0211,已下載,RPG,產品存貨狀況－物流點數量,
IMI0212,已下載,RPG,產品存貨狀況－物流點庫存金額,
IMI022,已下載,RPG,產品存貨狀況,
IMI023,已下載,RPG,物流點進出明細查詢,
IMI024,已下載,RPG,異動單別查詢,
IMI025,已下載,RPG,產品異動查詢,
IMI026,已下載,RPG,產品保留量查詢,
IMI027,已下載,RPG,單位成本異動查詢,
IMI028,已下載,RPG,產品存貨狀況－年份查詢 subpgm,
IMR041,已下載,RPG,送貨揀料彙總表 (SCREEN CHECK),
IMR0411,已下載,RPG,送貨揀料彙總表 (PRINT REPORTS),
IMR0412,已下載,RPG,送貨揀料彙總表 (PRINT REPORTS),
IMR042,已下載,RPG,分車準備明細表 (SCREEN CHECK),
IMR0421,已下載,RPG,分車準備明細表 (PRINT REPORTS),
IMR043,已下載,RPG,分車送貨明細表 (SCREEN CHECK),
IMR0431,已下載,RPG,分車送貨明細表 (PRINT REPORTS),
IMR0432,已下載,RPG,分車送貨明細表 (PRINT REPORTS),
IMR044,已下載,RPG,送貨單列印 (SCREEN CHECK)       套表,
IMR0441,已下載,RPG,送貨單列印 (PRINT REPORTS)      套表,
IMR045,已下載,RPG,電子統一發列印 (SCREEN CHECK)   套表,
IMR0451,已下載,RPG,電子統一發票列印 (PRINT REPORTS) 套表,
